similarity(%)	image name	time and date
4 %	unnamed.jpg	04/04/2019 10:10:38
2 %	butterfly.jpg	04/04/2019 10:10:38
1 %	unnamed-1.jpg	04/04/2019 10:10:38
0 %	likeblack.jpg	04/04/2019 10:10:38
0 %	rose.jpg	04/04/2019 10:10:38
0 %	arabic.jpg	04/04/2019 10:10:38
0 %	the_100.jpg	04/04/2019 10:10:38
0 %	malcomx.jpg	04/04/2019 10:10:38
0 %	life.JPEG	04/04/2019 10:10:38
0 %	prayer.jpg	04/04/2019 10:10:38
0 %	sherlock.jpg	04/04/2019 10:10:38
0 %	madam.jpg	04/04/2019 10:10:38
0 %	memory.jpg	04/04/2019 10:10:38
0 %	condame.jpg	04/04/2019 10:10:38
similarity(%)	image name	time and date
2 %	life.JPEG	04/04/2019 10:22:27
15 %	butterfly.jpg	04/04/2019 10:22:27
12 %	unnamed-1.jpg	04/04/2019 10:22:27
10 %	unnamed.jpg	04/04/2019 10:22:27
1 %	memory.jpg	04/04/2019 10:22:27
0 %	likeblack.jpg	04/04/2019 10:22:27
0 %	rose.jpg	04/04/2019 10:22:27
0 %	arabic.jpg	04/04/2019 10:22:27
0 %	the_100.jpg	04/04/2019 10:22:27
0 %	malcomx.jpg	04/04/2019 10:22:27
0 %	prayer.jpg	04/04/2019 10:22:27
0 %	sherlock.jpg	04/04/2019 10:22:27
0 %	madam.jpg	04/04/2019 10:22:27
0 %	condame.jpg	04/04/2019 10:22:27
similarity(%)	image name	time and date
4 %	life.JPEG	04/04/2019 10:27:41
30 %	unnamed.jpg	04/04/2019 10:27:41
11 %	malcomx.jpg	04/04/2019 10:27:41
11 %	unnamed-1.jpg	04/04/2019 10:27:41
0 %	likeblack.jpg	04/04/2019 10:27:41
0 %	rose.jpg	04/04/2019 10:27:41
0 %	arabic.jpg	04/04/2019 10:27:41
0 %	the_100.jpg	04/04/2019 10:27:41
0 %	butterfly.jpg	04/04/2019 10:27:41
0 %	prayer.jpg	04/04/2019 10:27:41
0 %	sherlock.jpg	04/04/2019 10:27:41
0 %	madam.jpg	04/04/2019 10:27:41
0 %	memory.jpg	04/04/2019 10:27:41
0 %	condame.jpg	04/04/2019 10:27:41
similarity(%)	image name	time and date
39 %	unnamed-1.jpg	04/04/2019 10:32:27
3 %	butterfly.jpg	04/04/2019 10:32:27
28 %	life.JPEG	04/04/2019 10:32:27
2 %	prayer.jpg	04/04/2019 10:32:27
2 %	madam.jpg	04/04/2019 10:32:27
15 %	malcomx.jpg	04/04/2019 10:32:27
122 %	unnamed.jpg	04/04/2019 10:32:27
1 %	likeblack.jpg	04/04/2019 10:32:27
1 %	rose.jpg	04/04/2019 10:32:27
1 %	memory.jpg	04/04/2019 10:32:27
1 %	condame.jpg	04/04/2019 10:32:27
0 %	arabic.jpg	04/04/2019 10:32:27
0 %	the_100.jpg	04/04/2019 10:32:27
0 %	sherlock.jpg	04/04/2019 10:32:27
